Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	518.909559  	1.706459    	17.55     	5227.461264
0.00020000     	19        	6080        	48640       	503.598321  	1.832190    	13.58     	4769.451066
0.00030000     	29        	9280        	74240       	480.081846  	2.071236    	13.68     	4363.030988
0.00040000     	39        	12480       	99840       	456.483712  	1.973117    	15.91     	4007.428748
0.00050000     	49        	15680       	125440      	384.643283  	1.207994    	51.87     	3870.821961
0.00060000     	59        	18880       	151040      	176.330342  	0.697394    	71.73     	4027.410531
0.00070000     	69        	22080       	176640      	106.721634  	0.512658    	78.88     	4049.414709
0.00080000     	79        	25280       	202240      	78.338788   	0.397161    	84.16     	4196.465157
0.00090000     	89        	28480       	227840      	67.552751   	0.357020    	85.41     	4108.621914
0.00100000     	99        	31680       	253440      	59.253958   	0.417361    	83.67     	4100.628185
0.00099973     	109       	34880       	279040      	53.240667   	0.350679    	85.93     	4425.377355
0.00099890     	119       	38080       	304640      	47.657988   	0.313494    	87.26     	4499.486825
0.00099753     	129       	41280       	330240      	42.627503   	0.319810    	86.81     	4496.004078
0.00099562     	139       	44480       	355840      	38.885865   	0.276119    	88.40     	4483.905643
0.00099316     	149       	47680       	381440      	36.479702   	0.318054    	87.20     	4410.309817
0.00099017     	159       	50880       	407040      	34.343326   	0.306620    	87.17     	4373.356480
0.00098663     	169       	54080       	432640      	32.020055   	0.293641    	87.41     	4447.190417
0.00098257     	179       	57280       	458240      	30.168657   	0.342786    	85.88     	4421.936923
0.00097798     	189       	60480       	483840      	29.203649   	0.249352    	89.57     	4271.518658
0.00097286     	199       	63680       	509440      	26.821463   	0.282865    	88.25     	4169.008967
0.00096723     	209       	66880       	535040      	25.648537   	0.255569    	89.57     	4287.294127
0.00096110     	219       	70080       	560640      	24.523041   	0.223816    	90.92     	4477.967403
0.00095446     	229       	73280       	586240      	24.035575   	0.258228    	89.49     	4526.704287
0.00094733     	239       	76480       	611840      	23.141337   	0.260347    	89.18     	4335.502357
0.00093971     	249       	79680       	637440      	21.581025   	0.230350    	90.40     	4264.992765
0.00093162     	259       	82880       	663040      	21.036555   	0.258171    	89.22     	4279.834406
0.00092307     	269       	86080       	688640      	20.903508   	0.221679    	90.54     	4276.949135
0.00091406     	279       	89280       	714240      	19.679354   	0.256526    	90.05     	4303.279695
0.00090460     	289       	92480       	739840      	18.832592   	0.252987    	88.98     	4209.866409
0.00089472     	299       	95680       	765440      	18.438113   	0.245035    	89.80     	4345.070880
0.00088442     	309       	98880       	791040      	17.918730   	0.269014    	89.35     	4394.006538
0.00087370     	319       	102080      	816640      	17.047266   	0.261612    	89.52     	4318.804597
0.00086260     	329       	105280      	842240      	16.691012   	0.257318    	89.70     	4374.495270
0.00085111     	339       	108480      	867840      	15.928644   	0.235061    	90.40     	4466.957245
0.00083925     	349       	111680      	893440      	15.444703   	0.231253    	90.95     	4576.402656
0.00082705     	359       	114880      	919040      	15.065433   	0.222026    	90.96     	4502.379597
0.00081450     	369       	118080      	944640      	14.199130   	0.228903    	90.91     	4331.744408
0.00080164     	379       	121280      	970240      	14.125453   	0.240268    	89.71     	4369.689554
0.00078846     	389       	124480      	995840      	13.903385   	0.224643    	90.89     	4136.404391
0.00077500     	399       	127680      	1021440     	13.517171   	0.234307    	90.69     	4243.356391
0.00076126     	409       	130880      	1047040     	13.200848   	0.204395    	91.89     	4178.005088
0.00074727     	419       	134080      	1072640     	12.466346   	0.216205    	91.70     	4259.929786
0.00073303     	429       	137280      	1098240     	11.746389   	0.230590    	90.66     	4432.067310
0.00071857     	439       	140480      	1123840     	12.061319   	0.214358    	91.05     	4470.006842
0.00070391     	449       	143680      	1149440     	11.117837   	0.219608    	91.34     	4547.930909
0.00068906     	459       	146880      	1175040     	11.192848   	0.217300    	91.35     	4704.184548
0.00067404     	469       	150080      	1200640     	10.728302   	0.218215    	91.59     	4960.787508
0.00065886     	479       	153280      	1226240     	10.496218   	0.236030    	90.61     	5252.922540
0.00064356     	489       	156480      	1251840     	9.663068    	0.216218    	91.46     	5185.754819
0.00062814     	499       	159680      	1277440     	9.711552    	0.225619    	91.62     	4774.811226
0.00061263     	509       	162880      	1303040     	9.426563    	0.211766    	91.30     	4310.938476
0.00059704     	519       	166080      	1328640     	9.000617    	0.216433    	91.93     	4138.774815
0.00058139     	529       	169280      	1354240     	8.616674    	0.230797    	91.24     	3988.752480
0.00056570     	539       	172480      	1379840     	8.650527    	0.201699    	91.54     	3924.687786
0.00055000     	549       	175680      	1405440     	8.446050    	0.197890    	92.12     	4130.483900
0.00053430     	559       	178880      	1431040     	8.033071    	0.206240    	91.70     	4325.892346
0.00051861     	569       	182080      	1456640     	8.200944    	0.186079    	92.44     	4490.411076
0.00050296     	579       	185280      	1482240     	8.001201    	0.197112    	92.14     	4355.383436
0.00048737     	589       	188480      	1507840     	7.482099    	0.203857    	92.12     	4544.456195
