Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	537.871150  	1.748902    	20.16     	5082.742087
0.00020000     	19        	6080        	48640       	518.718521  	1.943591    	12.70     	4625.318910
0.00030000     	29        	9280        	74240       	483.742706  	2.134738    	13.20     	4196.379740
0.00040000     	39        	12480       	99840       	455.421797  	2.159076    	14.18     	3797.158287
0.00050000     	49        	15680       	125440      	434.356675  	2.026287    	17.72     	3893.554889
0.00060000     	59        	18880       	151040      	410.275196  	2.212104    	19.78     	3857.099041
0.00070000     	69        	22080       	176640      	363.347995  	2.017125    	27.08     	3820.885174
0.00080000     	79        	25280       	202240      	319.393193  	1.975211    	33.00     	3927.029832
0.00090000     	89        	28480       	227840      	285.137575  	1.907654    	34.44     	4124.268367
0.00100000     	99        	31680       	253440      	257.252602  	2.001226    	35.66     	4358.393839
0.00099973     	109       	34880       	279040      	233.947679  	1.814738    	38.76     	4402.936403
0.00099890     	119       	38080       	304640      	213.948650  	2.199960    	38.03     	4623.590474
0.00099753     	129       	41280       	330240      	201.658450  	1.912474    	39.61     	4490.141967
0.00099562     	139       	44480       	355840      	190.503320  	1.992377    	40.28     	4316.909950
0.00099316     	149       	47680       	381440      	180.769693  	2.060521    	40.57     	4177.039959
0.00099017     	159       	50880       	407040      	172.249170  	1.980593    	42.53     	4124.806820
0.00098663     	169       	54080       	432640      	166.716996  	2.008405    	42.23     	4166.391896
0.00098257     	179       	57280       	458240      	159.749588  	2.146233    	43.42     	4103.120043
0.00097798     	189       	60480       	483840      	155.284519  	2.207578    	40.30     	4152.498603
0.00097286     	199       	63680       	509440      	151.203631  	2.098699    	45.27     	4226.315504
0.00096723     	209       	66880       	535040      	145.099147  	2.097544    	43.04     	4332.512519
0.00096110     	219       	70080       	560640      	141.696012  	2.127105    	45.66     	4686.654965
0.00095446     	229       	73280       	586240      	138.929119  	2.202265    	41.12     	4618.544644
0.00094733     	239       	76480       	611840      	134.842849  	2.194353    	44.98     	4338.201305
0.00093971     	249       	79680       	637440      	132.531557  	2.252858    	41.95     	4150.174514
0.00093162     	259       	82880       	663040      	128.084049  	2.334207    	41.51     	4085.466634
0.00092307     	269       	86080       	688640      	125.309599  	2.325490    	42.94     	4048.069314
0.00091406     	279       	89280       	714240      	123.613060  	2.476528    	41.70     	4082.845199
0.00090460     	289       	92480       	739840      	119.248456  	2.189837    	45.48     	4286.123347
0.00089472     	299       	95680       	765440      	81.529272   	2.176272    	50.25     	4456.870248
0.00088442     	309       	98880       	791040      	65.523717   	2.319403    	48.07     	4517.935987
0.00087370     	319       	102080      	816640      	58.888012   	1.939437    	52.80     	4200.785797
0.00086260     	329       	105280      	842240      	53.544343   	2.043245    	54.09     	3968.255816
0.00085111     	339       	108480      	867840      	49.364457   	1.881819    	55.26     	4155.428464
0.00083925     	349       	111680      	893440      	46.948325   	1.970307    	56.25     	4229.039211
