Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	533.282124  	1.763043    	19.81     	4162.612128
0.00020000     	19        	6080        	48640       	512.585174  	1.904476    	18.12     	3895.412999
0.00030000     	29        	9280        	74240       	488.086823  	1.822605    	17.77     	4166.146031
0.00040000     	39        	12480       	99840       	474.218322  	1.753731    	20.75     	3749.171888
0.00050000     	49        	15680       	125440      	467.184232  	1.858485    	18.46     	3647.745937
0.00060000     	59        	18880       	151040      	459.668649  	1.928776    	17.79     	3864.993437
0.00070000     	69        	22080       	176640      	451.532882  	1.965061    	19.45     	3626.420297
0.00080000     	79        	25280       	202240      	439.684755  	1.936436    	21.37     	3527.248319
0.00090000     	89        	28480       	227840      	426.033809  	1.947966    	20.59     	3864.464257
0.00100000     	99        	31680       	253440      	411.279941  	1.931844    	23.11     	3781.041660
0.00099973     	109       	34880       	279040      	393.867908  	2.015438    	22.31     	3867.860210
0.00099890     	119       	38080       	304640      	372.751666  	2.057001    	24.05     	4265.554123
0.00099753     	129       	41280       	330240      	350.384833  	1.911030    	27.09     	4163.184148
0.00099562     	139       	44480       	355840      	327.466749  	1.771334    	31.43     	4120.630088
0.00099316     	149       	47680       	381440      	297.174739  	1.675264    	33.23     	3823.756741
0.00099017     	159       	50880       	407040      	269.837588  	1.543515    	39.02     	3883.439289
0.00098663     	169       	54080       	432640      	246.933740  	1.635551    	38.34     	3802.529592
0.00098257     	179       	57280       	458240      	226.683548  	1.463563    	42.41     	4097.975052
0.00097798     	189       	60480       	483840      	207.496944  	1.461875    	42.92     	4064.881212
0.00097286     	199       	63680       	509440      	190.295101  	1.482589    	43.35     	3974.161264
0.00096723     	209       	66880       	535040      	176.218791  	1.474320    	42.99     	3839.384158
0.00096110     	219       	70080       	560640      	163.207891  	1.479635    	44.98     	3671.706831
0.00095446     	229       	73280       	586240      	154.486582  	1.465397    	44.73     	3877.847884
0.00094733     	239       	76480       	611840      	144.637072  	1.539720    	42.47     	4341.221854
0.00093971     	249       	79680       	637440      	134.358472  	1.452057    	45.19     	4629.964090
0.00093162     	259       	82880       	663040      	126.266083  	1.517081    	44.48     	4155.401797
0.00092307     	269       	86080       	688640      	120.101521  	1.516659    	45.32     	3749.043571
0.00091406     	279       	89280       	714240      	112.278558  	1.574780    	44.59     	3814.962417
0.00090460     	289       	92480       	739840      	106.308007  	1.575602    	45.06     	3822.437120
0.00089472     	299       	95680       	765440      	99.907831   	1.527445    	46.46     	4030.346242
0.00088442     	309       	98880       	791040      	95.420943   	1.604654    	44.39     	4189.837882
0.00087370     	319       	102080      	816640      	91.240386   	1.631415    	45.00     	3897.043382
0.00086260     	329       	105280      	842240      	86.309499   	1.615313    	44.95     	3823.925904
0.00085111     	339       	108480      	867840      	80.797171   	1.744689    	42.95     	4052.260378
0.00083925     	349       	111680      	893440      	78.432877   	1.619635    	45.76     	3990.359877
0.00082705     	359       	114880      	919040      	73.317187   	1.598968    	46.34     	4301.694377
0.00081450     	369       	118080      	944640      	70.809147   	1.645587    	45.93     	4245.680064
0.00080164     	379       	121280      	970240      	67.446993   	1.688161    	45.70     	4117.434804
0.00078846     	389       	124480      	995840      	65.317560   	1.676389    	46.15     	3831.308417
0.00077500     	399       	127680      	1021440     	60.534037   	1.720706    	45.91     	3653.376366
0.00076126     	409       	130880      	1047040     	58.296695   	1.694325    	47.01     	3932.842261
0.00074727     	419       	134080      	1072640     	56.320915   	1.774277    	44.39     	4405.781745
0.00073303     	429       	137280      	1098240     	53.302865   	1.657785    	47.08     	4132.315900
0.00071857     	439       	140480      	1123840     	50.706524   	1.743750    	46.34     	3796.067952
0.00070391     	449       	143680      	1149440     	49.241160   	1.757953    	47.56     	3822.793158
0.00068906     	459       	146880      	1175040     	46.200132   	1.797134    	46.62     	3942.363575
0.00067404     	469       	150080      	1200640     	45.535644   	1.682013    	47.26     	4007.972232
0.00065886     	479       	153280      	1226240     	42.857052   	1.735447    	47.09     	3803.433195
0.00064356     	489       	156480      	1251840     	41.572394   	1.770693    	47.08     	3759.872563
0.00062814     	499       	159680      	1277440     	40.323943   	1.843486    	46.50     	3778.404764
0.00061263     	509       	162880      	1303040     	38.848976   	1.794661    	47.28     	3891.065377
0.00059704     	519       	166080      	1328640     	36.791986   	1.901171    	46.46     	4404.369138
0.00058139     	529       	169280      	1354240     	35.335539   	1.868275    	45.80     	4702.348229
0.00056570     	539       	172480      	1379840     	34.070941   	1.841488    	46.05     	4540.362033
0.00055000     	549       	175680      	1405440     	32.632423   	1.866801    	46.12     	4008.864560
0.00053430     	559       	178880      	1431040     	30.604545   	1.813903    	46.48     	3673.982789
0.00051861     	569       	182080      	1456640     	30.847216   	1.753646    	46.57     	3732.441864
0.00050296     	579       	185280      	1482240     	28.668509   	1.908168    	46.54     	3764.840814
