Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	511.370856  	1.755920    	15.33     	4572.980112
0.00020000     	19        	6080        	48640       	485.838539  	1.985604    	14.80     	4820.605198
0.00030000     	29        	9280        	74240       	456.669014  	2.053774    	15.55     	4808.280023
0.00040000     	39        	12480       	99840       	402.839144  	1.758686    	26.39     	4517.752037
0.00050000     	49        	15680       	125440      	313.043078  	1.519578    	38.14     	4528.424783
0.00060000     	59        	18880       	151040      	216.901058  	0.756799    	69.21     	4521.066184
0.00070000     	69        	22080       	176640      	135.520761  	0.642998    	73.09     	4444.216915
0.00080000     	79        	25280       	202240      	107.995407  	0.531059    	77.45     	4283.876290
0.00090000     	89        	28480       	227840      	92.292035   	0.464863    	79.84     	4543.936187
0.00100000     	99        	31680       	253440      	82.462585   	0.401163    	82.09     	4671.094164
0.00099973     	109       	34880       	279040      	72.401254   	0.411499    	81.95     	4985.425040
0.00099890     	119       	38080       	304640      	62.506611   	0.369217    	83.44     	5260.108787
0.00099753     	129       	41280       	330240      	54.260946   	0.332281    	85.23     	4972.390825
0.00099562     	139       	44480       	355840      	48.992732   	0.304898    	84.88     	4750.737206
0.00099316     	149       	47680       	381440      	46.708289   	0.282337    	85.56     	4521.654048
0.00099017     	159       	50880       	407040      	43.005568   	0.254731    	88.76     	4604.216171
0.00098663     	169       	54080       	432640      	41.143645   	0.263753    	87.27     	4879.126787
0.00098257     	179       	57280       	458240      	38.493291   	0.278633    	86.13     	4793.816548
0.00097798     	189       	60480       	483840      	35.637079   	0.248205    	88.42     	5199.702869
0.00097286     	199       	63680       	509440      	33.870819   	0.274893    	87.16     	5178.931300
0.00096723     	209       	66880       	535040      	33.267493   	0.240590    	88.45     	4996.222994
0.00096110     	219       	70080       	560640      	32.473940   	0.224884    	89.18     	4803.949726
0.00095446     	229       	73280       	586240      	30.939253   	0.259444    	87.65     	4756.091549
0.00094733     	239       	76480       	611840      	30.720211   	0.247945    	88.57     	4651.434857
0.00093971     	249       	79680       	637440      	30.322818   	0.218674    	89.38     	4839.683982
0.00093162     	259       	82880       	663040      	31.262643   	0.250848    	88.27     	5112.604527
0.00092307     	269       	86080       	688640      	29.485144   	0.220197    	89.07     	5020.203524
0.00091406     	279       	89280       	714240      	27.200059   	0.231479    	88.46     	4602.525296
0.00090460     	289       	92480       	739840      	26.669781   	0.229996    	88.62     	4411.639783
0.00089472     	299       	95680       	765440      	24.860013   	0.207567    	89.94     	4315.935565
0.00088442     	309       	98880       	791040      	24.601293   	0.195512    	90.75     	4551.283195
0.00087370     	319       	102080      	816640      	25.390161   	0.235534    	89.03     	4567.743552
0.00086260     	329       	105280      	842240      	23.875347   	0.196557    	89.93     	4260.718964
0.00085111     	339       	108480      	867840      	24.539639   	0.201490    	90.35     	4484.996165
0.00083925     	349       	111680      	893440      	24.402023   	0.211486    	90.11     	4683.639750
0.00082705     	359       	114880      	919040      	22.365968   	0.241108    	88.43     	4677.980583
0.00081450     	369       	118080      	944640      	22.902658   	0.230947    	88.89     	4863.965889
0.00080164     	379       	121280      	970240      	23.143712   	0.193217    	90.68     	4575.612103
0.00078846     	389       	124480      	995840      	21.377066   	0.174738    	91.52     	4453.835999
0.00077500     	399       	127680      	1021440     	20.346803   	0.216301    	89.84     	4457.924039
