Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	551.044706  	1.788170    	20.00     	5204.913637
0.00020000     	19        	6080        	48640       	531.618821  	1.800864    	15.77     	4931.607071
0.00030000     	29        	9280        	74240       	500.919873  	2.027866    	14.71     	5019.075584
0.00040000     	39        	12480       	99840       	484.480088  	2.087944    	14.02     	4814.987772
0.00050000     	49        	15680       	125440      	471.555283  	2.137501    	13.88     	4941.894861
0.00060000     	59        	18880       	151040      	454.611578  	2.428219    	13.69     	5495.758323
0.00070000     	69        	22080       	176640      	444.796774  	2.337724    	14.16     	5028.317011
0.00080000     	79        	25280       	202240      	435.223921  	2.254714    	16.62     	4860.737096
0.00090000     	89        	28480       	227840      	420.716835  	2.324235    	15.40     	5085.906805
0.00100000     	99        	31680       	253440      	407.571117  	2.367961    	14.88     	4844.410580
0.00099973     	109       	34880       	279040      	405.123322  	2.280661    	15.62     	4754.536424
0.00099890     	119       	38080       	304640      	394.227838  	2.427089    	14.52     	5615.033964
0.00099753     	129       	41280       	330240      	385.924436  	2.416945    	16.86     	5497.595950
0.00099562     	139       	44480       	355840      	377.930499  	2.383777    	15.42     	4787.144474
0.00099316     	149       	47680       	381440      	366.363782  	2.580045    	14.57     	5086.212866
0.00099017     	159       	50880       	407040      	357.598369  	2.390596    	17.68     	5345.878549
0.00098663     	169       	54080       	432640      	350.849292  	2.701256    	16.52     	5112.803552
0.00098257     	179       	57280       	458240      	347.538283  	2.569623    	18.04     	4212.122065
0.00097798     	189       	60480       	483840      	340.865839  	2.582275    	17.49     	3823.395623
0.00097286     	199       	63680       	509440      	332.082078  	2.716922    	16.20     	4698.236219
0.00096723     	209       	66880       	535040      	323.616088  	2.669988    	18.25     	4109.920629
0.00096110     	219       	70080       	560640      	320.160660  	2.728749    	17.24     	4133.561415
0.00095446     	229       	73280       	586240      	317.572227  	2.721012    	17.23     	3943.309933
0.00094733     	239       	76480       	611840      	311.206428  	2.702351    	18.76     	4154.923769
0.00093971     	249       	79680       	637440      	306.649790  	2.949917    	16.76     	4753.037484
0.00093162     	259       	82880       	663040      	303.158798  	2.812371    	17.76     	4723.779715
0.00092307     	269       	86080       	688640      	297.283358  	2.855690    	18.73     	4871.095357
0.00091406     	279       	89280       	714240      	291.983860  	3.215312    	15.95     	4565.150069
0.00090460     	289       	92480       	739840      	288.821168  	3.022435    	18.11     	4800.530509
0.00089472     	299       	95680       	765440      	285.950318  	3.062689    	17.72     	4352.303162
0.00088442     	309       	98880       	791040      	280.772062  	3.058551    	17.32     	4114.520094
0.00087370     	319       	102080      	816640      	278.087510  	2.994569    	18.57     	4592.625247
0.00086260     	329       	105280      	842240      	274.443522  	3.134188    	17.17     	4829.296744
0.00085111     	339       	108480      	867840      	273.625576  	3.201456    	17.41     	3899.466759
0.00083925     	349       	111680      	893440      	269.595797  	3.152537    	18.17     	4151.729743
0.00082705     	359       	114880      	919040      	266.600848  	3.146074    	18.02     	4853.113216
0.00081450     	369       	118080      	944640      	263.097488  	3.021320    	18.88     	4926.992246
0.00080164     	379       	121280      	970240      	261.297605  	3.046298    	18.66     	4111.956568
0.00078846     	389       	124480      	995840      	257.487411  	3.356011    	16.81     	3831.874347
0.00077500     	399       	127680      	1021440     	258.114133  	3.182847    	17.88     	4290.311926
0.00076126     	409       	130880      	1047040     	254.593973  	3.262093    	18.02     	5094.809850
0.00074727     	419       	134080      	1072640     	251.127137  	3.268626    	18.20     	4032.073825
0.00073303     	429       	137280      	1098240     	249.948992  	3.258770    	17.74     	3420.349117
0.00071857     	439       	140480      	1123840     	245.754738  	3.312448    	17.62     	3542.279264
0.00070391     	449       	143680      	1149440     	244.443488  	3.428272    	18.13     	3424.065847
0.00068906     	459       	146880      	1175040     	240.357945  	3.484382    	17.05     	3451.916935
0.00067404     	469       	150080      	1200640     	238.660357  	3.442003    	18.53     	3793.872745
0.00065886     	479       	153280      	1226240     	235.473757  	3.513716    	17.91     	3831.465821
0.00064356     	489       	156480      	1251840     	233.081307  	3.356264    	18.41     	3663.795049
0.00062814     	499       	159680      	1277440     	234.276429  	3.488529    	17.89     	3311.462537
0.00061263     	509       	162880      	1303040     	230.147562  	3.430848    	18.24     	3283.989583
0.00059704     	519       	166080      	1328640     	226.790972  	3.461780    	17.90     	3695.212535
